# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                
       1.718100895971e-05      -1.583457243338e+00      -1.187592932237e+00      -1.187592932217e+00       0.000000000000e+00      -1.583457243378e+00      -1.191056574280e+00       6.041388317589e-01       5.990725391213e-01 
       3.587933862447e-05      -1.583510305851e+00      -1.187632729121e+00      -1.187632729052e+00       0.000000000000e+00      -1.583510305866e+00      -1.191096487186e+00       6.041361282102e-01       5.990700021232e-01 
       5.472719772997e-05      -1.583581199876e+00      -1.187685901061e+00      -1.187685900863e+00       0.000000000000e+00      -1.583581199532e+00      -1.191149814063e+00       6.041365844762e-01       5.990706044936e-01 
       7.383178624447e-05      -1.583675546163e+00      -1.187756665027e+00      -1.187756664649e+00       0.000000000000e+00      -1.583675544410e+00      -1.191220784190e+00       6.041391434885e-01       5.990733220544e-01 
       9.330421138831e-05      -1.583819687702e+00      -1.187864783235e+00      -1.187864784301e+00       0.000000000000e+00      -1.583819679585e+00      -1.191329218929e+00       6.041377507624e-01       5.990722580735e-01 
       1.132615652384e-04      -1.584001076890e+00      -1.188000860946e+00      -1.188000860578e+00       0.000000000000e+00      -1.584001063208e+00      -1.191465691719e+00       6.041362792595e-01       5.990712455933e-01 
       1.338291408165e-04      -1.584225687461e+00      -1.188169378598e+00      -1.188169378903e+00       0.000000000000e+00      -1.584225658728e+00      -1.191634700743e+00       6.041342087419e-01       5.990697191685e-01 
       1.551428425287e-04      -1.584497741091e+00      -1.188373522351e+00      -1.188373523216e+00       0.000000000000e+00      -1.584497687932e+00      -1.191839439121e+00       6.041317282325e-01       5.990679016834e-01 
       1.773518457215e-04      -1.584823913466e+00      -1.188618316853e+00      -1.188618319857e+00       0.000000000000e+00      -1.584823819512e+00      -1.192084947519e+00       6.041287410046e-01       5.990657045683e-01 
       2.006215568155e-04      -1.585219608175e+00      -1.188915360568e+00      -1.188915365076e+00       0.000000000000e+00      -1.585219454048e+00      -1.192382855594e+00       6.041233567250e-01       5.990613233721e-01 
       2.251369175871e-04      -1.585681836888e+00      -1.189262433855e+00      -1.189262441954e+00       0.000000000000e+00      -1.585681590150e+00      -1.192730939505e+00       6.041187784147e-01       5.990578779429e-01 
       2.511060810926e-04      -1.586239309464e+00      -1.189681138639e+00      -1.189681162421e+00       0.000000000000e+00      -1.586238906750e+00      -1.193150872714e+00       6.041108616205e-01       5.990513636246e-01 
       2.787644571579e-04      -1.586883460532e+00      -1.190165144352e+00      -1.190165169896e+00       0.000000000000e+00      -1.586882866181e+00      -1.193636280610e+00       6.041055381446e-01       5.990476094132e-01 
       3.083790747776e-04      -1.587649427708e+00      -1.190740900488e+00      -1.190740940644e+00       0.000000000000e+00      -1.587648533191e+00      -1.194213713749e+00       6.040987154464e-01       5.990426465430e-01 
       3.402531270947e-04      -1.588561316810e+00      -1.191426651040e+00      -1.191426726789e+00       0.000000000000e+00      -1.588559964120e+00      -1.194901474922e+00       6.040902042650e-01       5.990363389001e-01 
