# Matter power spectrum P(k) at redshift z=100
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.718100895971e-05       1.150080127308e-03 
       3.587933862447e-05       2.335282107026e-03 
       5.472719772997e-05       3.505190446237e-03 
       7.383178624447e-05       4.675159866561e-03 
       9.330421138831e-05       5.855717674272e-03 
       1.132615652384e-04       7.055906525222e-03 
       1.338291408165e-04       8.284347141664e-03 
       1.551428425287e-04       9.549751576721e-03 
       1.773518457215e-04       1.086125274767e-02 
       2.006215568155e-04       1.222866495134e-02 
       2.251369175871e-04       1.366272089715e-02 
       2.511060810926e-04       1.517530458007e-02 
       2.787644571579e-04       1.677968937887e-02 
       3.083790747776e-04       1.849078173928e-02 
       3.402531270947e-04       2.032536544430e-02 
       3.747304394790e-04       2.230233313706e-02 
       4.121994196236e-04       2.444288047539e-02 
       4.530958016084e-04       2.677062370424e-02 
       4.979031882427e-04       2.931158912307e-02 
       5.471500622805e-04       3.209399895580e-02 
       6.014016642277e-04       3.514777100590e-02 
       6.612450824238e-04       3.850364550772e-02 
       7.272663011032e-04       4.219188016778e-02 
       8.000190466360e-04       4.624051600283e-02 
       8.799871642059e-04       5.067332303229e-02 
       9.675446907352e-04       5.550766542477e-02 
       1.062919996449e-03       6.075263930196e-02 
       1.166171213428e-03       6.640787270653e-02 
       1.277178734592e-03       7.246328192991e-02 
       1.395656892399e-03       7.889987607233e-02 
       1.521182297352e-03       8.569144119898e-02 
       1.653232635093e-03       9.280674935292e-02 
       1.791228356804e-03       1.002118720804e-01 
       1.934570742717e-03       1.078722486732e-01 
       2.082672291894e-03       1.157543039654e-01 
       2.234978040646e-03       1.238264969499e-01 
       2.390978390810e-03       1.320553563286e-01 
       2.550215084249e-03       1.404193800852e-01 
       2.712282248797e-03       1.488957412062e-01 
       2.876824264459e-03       1.574644399280e-01 
       3.043531825090e-03       1.661080601943e-01 
       3.212137171994e-03       1.748114883927e-01 
       3.382409135563e-03       1.835616194715e-01 
       3.554148364277e-03       1.923470940824e-01 
       3.727182942406e-03       2.011580574298e-01 
       3.901364482579e-03       2.099859156395e-01 
       4.076564709624e-03       2.188231833800e-01 
       4.252672513007e-03       2.276632937344e-01 
       4.429591425793e-03       2.365004771859e-01 
       4.607237480580e-03       2.453296467847e-01 
       4.785537392305e-03       2.541462845840e-01 
       4.964427020835e-03       2.629463789935e-01 
       5.143850071066e-03       2.717263418679e-01 
       5.323756993482e-03       2.804829679372e-01 
       5.504104053389e-03       2.892133708368e-01 
       5.684852541755e-03       2.979149339909e-01 
       5.865968104924e-03       3.065853032090e-01 
       6.047420174062e-03       3.152223458380e-01 
       6.229181478418e-03       3.238240673958e-01 
       6.411227629051e-03       3.323888143719e-01 
       6.593536761938e-03       3.409148409404e-01 
       6.776089231211e-03       3.494007090281e-01 
       6.958867344787e-03       3.578450632352e-01 
       7.141855135947e-03       3.662466188465e-01 
       7.325038165467e-03       3.746043982837e-01 
       7.508403349770e-03       3.829171520209e-01 
       7.691938811311e-03       3.911840128218e-01 
       7.875633747978e-03       3.994040658569e-01 
       8.059478318836e-03       4.075764775196e-01 
       8.243463543915e-03       4.157007562644e-01 
       8.427581216114e-03       4.237759244822e-01 
       8.611823823588e-03       4.318014709176e-01 
       8.796184481215e-03       4.397768595637e-01 
       8.980656869941e-03       4.477014698049e-01 
       9.165235183005e-03       4.555752160563e-01 
       9.349914078149e-03       4.633972835217e-01 
       9.534688635068e-03       4.711673485446e-01 
       9.719554317462e-03       4.788853319568e-01 
       9.904506939110e-03       4.865507403156e-01 
       1.008954263351e-02       4.941631061028e-01 
       1.027465782663e-02       5.017228832373e-01 
       1.045984921246e-02       5.092294988664e-01 
       1.064511373097e-02       5.166826368535e-01 
       1.083044854826e-02       5.240823554460e-01 
       1.101585103870e-02       5.314286420512e-01 
       1.120131876865e-02       5.387208169980e-01 
       1.138684948186e-02       5.459599432401e-01 
       1.157244108616e-02       5.531452041946e-01 
       1.175809164138e-02       5.602768053548e-01 
       1.194379934840e-02       5.673546214423e-01 
       1.212956253916e-02       5.743788770024e-01 
       1.231537966756e-02       5.813495040892e-01 
       1.250124930116e-02       5.882665855895e-01 
       1.268717011362e-02       5.951302976449e-01 
       1.287314087774e-02       6.019407356511e-01 
       1.305916045918e-02       6.086978737102e-01 
       1.324522781056e-02       6.154019622229e-01 
       1.343134196625e-02       6.220530778047e-01 
       1.361750203737e-02       6.286513808834e-01 
       1.380370720740e-02       6.351970240899e-01 
       1.398995672801e-02       6.416901869265e-01 
       1.417624991527e-02       6.481310640540e-01 
       1.436258614617e-02       6.545197340574e-01 
       1.454896485541e-02       6.608564777317e-01 
       1.473538553244e-02       6.671414566113e-01 
       1.492184771874e-02       6.733748795346e-01 
       1.510835100528e-02       6.795569596085e-01 
       1.529489503023e-02       6.856879213921e-01 
       1.548147947682e-02       6.917678912194e-01 
       1.566810407133e-02       6.977971106251e-01 
       1.585476858133e-02       7.037758193206e-01 
       1.604147281394e-02       7.097042817002e-01 
       1.622821661434e-02       7.155826082793e-01 
       1.641499986427e-02       7.214112341133e-01 
       1.660182248078e-02       7.271899757009e-01 
       1.678868441499e-02       7.329194665442e-01 
