# Matter power spectrum P(k) at redshift z=1000
# for k=1.7181e-05 to 1057.74 h/Mpc,
# number of wavenumbers equal to 650
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.718100895971e-05       9.178668187203e-06 
       3.587933862447e-05       1.863765930793e-05 
       5.472719772997e-05       2.797461947502e-05 
       7.383178624447e-05       3.731208449928e-05 
       9.330421138831e-05       4.673407863957e-05 
       1.132615652384e-04       5.631280102738e-05 
       1.338291408165e-04       6.611709386352e-05 
       1.551428425287e-04       7.621647156827e-05 
       1.773518457215e-04       8.668391005998e-05 
       2.006215568155e-04       9.759770970345e-05 
       2.251369175871e-04       1.090436348618e-04 
       2.511060810926e-04       1.211164816671e-04 
       2.787644571579e-04       1.339224474749e-04 
       3.083790747776e-04       1.475805809558e-04 
       3.402531270947e-04       1.622247343239e-04 
       3.747304394790e-04       1.780060283178e-04 
       4.121994196236e-04       1.950939394199e-04 
       4.530958016084e-04       2.136772262582e-04 
       4.979031882427e-04       2.339640821737e-04 
       5.471500622805e-04       2.561803414654e-04 
       6.014016642277e-04       2.805656082552e-04 
       6.612450824238e-04       3.073663707788e-04 
       7.272663011032e-04       3.368255385377e-04 
       8.000190466360e-04       3.691688226073e-04 
       8.799871642059e-04       4.045883798924e-04 
       9.675446907352e-04       4.432258503818e-04 
       1.062919996449e-03       4.851576161104e-04 
       1.166171213428e-03       5.303852468240e-04 
       1.277178734592e-03       5.788334534256e-04 
       1.395656892399e-03       6.303566280299e-04 
       1.521182297352e-03       6.847520547048e-04 
       1.653232635093e-03       7.417775245968e-04 
       1.791228356804e-03       8.011696625885e-04 
       1.934570742717e-03       8.626602565860e-04 
       2.082672291894e-03       9.259891878552e-04 
       2.234978040646e-03       9.909219542441e-04 
       2.390978390810e-03       1.057835662811e-03 
       2.550215084249e-03       1.125737451254e-03 
       2.712282248797e-03       1.194521260104e-03 
       2.876824264459e-03       1.264076774026e-03 
       3.043531825090e-03       1.334298363653e-03 
       3.212137171994e-03       1.405089124045e-03 
       3.382409135563e-03       1.476361981891e-03 
       3.554148364277e-03       1.548040080322e-03 
       3.727182942406e-03       1.620056225796e-03 
       3.901364482579e-03       1.692351220131e-03 
       4.076564709624e-03       1.764873877069e-03 
       4.252672513007e-03       1.837579341651e-03 
       4.429591425793e-03       1.910428444781e-03 
       4.607237480580e-03       1.983386960947e-03 
       4.785537392305e-03       2.056424818280e-03 
       4.964427020835e-03       2.129515552505e-03 
       5.143850071066e-03       2.202635670282e-03 
       5.323756993482e-03       2.275764566401e-03 
       5.504104053389e-03       2.348883739221e-03 
       5.684852541755e-03       2.421976614485e-03 
       5.865968104924e-03       2.495028343585e-03 
       6.047420174062e-03       2.568025737955e-03 
       6.229181478418e-03       2.640956230289e-03 
       6.411227629051e-03       2.713809956703e-03 
       6.593536761938e-03       2.786575776321e-03 
       6.776089231211e-03       2.859244869968e-03 
       6.958867344787e-03       2.931808847693e-03 
       7.141855135947e-03       3.004259528002e-03 
       7.325038165467e-03       3.076591083578e-03 
       7.508403349770e-03       3.148795134001e-03 
       7.691938811311e-03       3.220866084515e-03 
       7.875633747978e-03       3.292797818615e-03 
       8.059478318836e-03       3.364584582809e-03 
       8.243463543915e-03       3.436222919192e-03 
       8.427581216114e-03       3.507705831022e-03 
       8.611823823588e-03       3.579029167882e-03 
       8.796184481215e-03       3.650188689918e-03 
       8.980656869941e-03       3.721179430441e-03 
       9.165235183005e-03       3.792000171691e-03 
       9.349914078149e-03       3.862643912062e-03 
       9.534688635068e-03       3.933107314656e-03 
       9.719554317462e-03       4.003387945829e-03 
       9.904506939110e-03       4.073481291533e-03 
       1.008954263351e-02       4.143382529065e-03 
       1.027465782663e-02       4.213092854965e-03 
       1.045984921246e-02       4.282606527546e-03 
       1.064511373097e-02       4.351919255203e-03 
       1.083044854826e-02       4.421029237370e-03 
       1.101585103870e-02       4.489934285578e-03 
       1.120131876865e-02       4.558627654655e-03 
       1.138684948186e-02       4.627113847788e-03 
       1.157244108616e-02       4.695384713059e-03 
       1.175809164138e-02       4.763439088652e-03 
       1.194379934840e-02       4.831273536473e-03 
       1.212956253916e-02       4.898886485234e-03 
       1.231537966756e-02       4.966275169267e-03 
       1.250124930116e-02       5.033437201899e-03 
       1.268717011362e-02       5.100370457631e-03 
       1.287314087774e-02       5.167072709935e-03 
       1.305916045918e-02       5.233540750416e-03 
       1.324522781056e-02       5.299773893890e-03 
       1.343134196625e-02       5.365769371468e-03 
       1.361750203737e-02       5.431521491368e-03 
       1.380370720740e-02       5.497033754530e-03 
       1.398995672801e-02       5.562301736114e-03 
       1.417624991527e-02       5.627321950461e-03 
       1.436258614617e-02       5.692095202221e-03 
       1.454896485541e-02       5.756615269283e-03 
       1.473538553244e-02       5.820887769771e-03 
       1.492184771874e-02       5.884902247680e-03 
       1.510835100528e-02       5.948663094911e-03 
       1.529489503023e-02       6.012162070333e-03 
       1.548147947682e-02       6.075403676249e-03 
       1.566810407133e-02       6.138384448304e-03 
       1.585476858133e-02       6.201101430204e-03 
       1.604147281394e-02       6.263553576725e-03 
       1.622821661434e-02       6.325738853643e-03 
       1.641499986427e-02       6.387654223756e-03 
       1.660182248078e-02       6.449300929322e-03 
       1.678868441499e-02       6.510677254145e-03 
       1.697558565096e-02       6.571778986791e-03 
       1.716252620469e-02       6.632605664406e-03 
       1.734950612314e-02       6.693158675028e-03 
       1.753652548340e-02       6.753432783189e-03 
       1.772358439187e-02       6.813427445130e-03 
       1.791068298355e-02       6.873140742787e-03 
       1.809782142137e-02       6.932573990218e-03 
       1.828499989557e-02       6.991723521967e-03 
